Results of first Grid Search for parameters 'activation', 'neurons' and 'batch_size'.
Size of training set was 145, with 20 training epochs.
Possible parameters were:
activation: ['softmax', 'softplus', 'softsign', 'relu', 'tanh', 'sigmoid', 'hard_sigmoid', 'linear']
neurons: [5, 6, ... , 20]
batch_size: [1, 10, 100, 145]

Best: 0.917892 using {'activation': 'softplus', 'neurons': 17, 'batch_size': 100}
0.494880 (0.007167) with: {'activation': 'softmax', 'neurons': 5, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 6, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 7, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 8, 'batch_size': 1}
0.495396 (0.012748) with: {'activation': 'softmax', 'neurons': 9, 'batch_size': 1}
0.510980 (0.015609) with: {'activation': 'softmax', 'neurons': 10, 'batch_size': 1}
0.515047 (0.021390) with: {'activation': 'softmax', 'neurons': 11, 'batch_size': 1}
0.494880 (0.007167) with: {'activation': 'softmax', 'neurons': 12, 'batch_size': 1}
0.510560 (0.014781) with: {'activation': 'softmax', 'neurons': 13, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 14, 'batch_size': 1}
0.495402 (0.006536) with: {'activation': 'softmax', 'neurons': 15, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 16, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 17, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 18, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 19, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 5, 'batch_size': 10}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 6, 'batch_size': 10}
0.527835 (0.059614) with: {'activation': 'softmax', 'neurons': 7, 'batch_size': 10}
0.510980 (0.015609) with: {'activation': 'softmax', 'neurons': 8, 'batch_size': 10}
0.499593 (0.000578) with: {'activation': 'softmax', 'neurons': 9, 'batch_size': 10}
0.560802 (0.085105) with: {'activation': 'softmax', 'neurons': 10, 'batch_size': 10}
0.592176 (0.107454) with: {'activation': 'softmax', 'neurons': 11, 'batch_size': 10}
0.521121 (0.029563) with: {'activation': 'softmax', 'neurons': 12, 'batch_size': 10}
0.484639 (0.021500) with: {'activation': 'softmax', 'neurons': 13, 'batch_size': 10}
0.450568 (0.037809) with: {'activation': 'softmax', 'neurons': 14, 'batch_size': 10}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 15, 'batch_size': 10}
0.560920 (0.086601) with: {'activation': 'softmax', 'neurons': 16, 'batch_size': 10}
0.567816 (0.096405) with: {'activation': 'softmax', 'neurons': 17, 'batch_size': 10}
0.619600 (0.147913) with: {'activation': 'softmax', 'neurons': 18, 'batch_size': 10}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 19, 'batch_size': 10}
0.602916 (0.093963) with: {'activation': 'softmax', 'neurons': 5, 'batch_size': 100}
0.652658 (0.099766) with: {'activation': 'softmax', 'neurons': 6, 'batch_size': 100}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 7, 'batch_size': 100}
0.550242 (0.070324) with: {'activation': 'softmax', 'neurons': 8, 'batch_size': 100}
0.567056 (0.109447) with: {'activation': 'softmax', 'neurons': 9, 'batch_size': 100}
0.606585 (0.077431) with: {'activation': 'softmax', 'neurons': 10, 'batch_size': 100}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 11, 'batch_size': 100}
0.576106 (0.119231) with: {'activation': 'softmax', 'neurons': 12, 'batch_size': 100}
0.495527 (0.006359) with: {'activation': 'softmax', 'neurons': 13, 'batch_size': 100}
0.494880 (0.007167) with: {'activation': 'softmax', 'neurons': 14, 'batch_size': 100}
0.495527 (0.006359) with: {'activation': 'softmax', 'neurons': 15, 'batch_size': 100}
0.624417 (0.155599) with: {'activation': 'softmax', 'neurons': 16, 'batch_size': 100}
0.490282 (0.006856) with: {'activation': 'softmax', 'neurons': 17, 'batch_size': 100}
0.613924 (0.159460) with: {'activation': 'softmax', 'neurons': 18, 'batch_size': 100}
0.515047 (0.021390) with: {'activation': 'softmax', 'neurons': 19, 'batch_size': 100}
0.567609 (0.093774) with: {'activation': 'softmax', 'neurons': 5, 'batch_size': 145}
0.619923 (0.170478) with: {'activation': 'softmax', 'neurons': 6, 'batch_size': 145}
0.515047 (0.031010) with: {'activation': 'softmax', 'neurons': 7, 'batch_size': 145}
0.554901 (0.078045) with: {'activation': 'softmax', 'neurons': 8, 'batch_size': 145}
0.547581 (0.067639) with: {'activation': 'softmax', 'neurons': 9, 'batch_size': 145}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 10, 'batch_size': 145}
0.564346 (0.057075) with: {'activation': 'softmax', 'neurons': 11, 'batch_size': 145}
0.781553 (0.039374) with: {'activation': 'softmax', 'neurons': 12, 'batch_size': 145}
0.441845 (0.082670) with: {'activation': 'softmax', 'neurons': 13, 'batch_size': 145}
0.614851 (0.088040) with: {'activation': 'softmax', 'neurons': 14, 'batch_size': 145}
0.651897 (0.113732) with: {'activation': 'softmax', 'neurons': 15, 'batch_size': 145}
0.500000 (0.000000) with: {'activation': 'softmax', 'neurons': 16, 'batch_size': 145}
0.495527 (0.006359) with: {'activation': 'softmax', 'neurons': 17, 'batch_size': 145}
0.555642 (0.039178) with: {'activation': 'softmax', 'neurons': 18, 'batch_size': 145}
0.463151 (0.034752) with: {'activation': 'softmax', 'neurons': 19, 'batch_size': 145}
0.834119 (0.064718) with: {'activation': 'softplus', 'neurons': 5, 'batch_size': 1}
0.824587 (0.052974) with: {'activation': 'softplus', 'neurons': 6, 'batch_size': 1}
0.852298 (0.048294) with: {'activation': 'softplus', 'neurons': 7, 'batch_size': 1}
0.826456 (0.074997) with: {'activation': 'softplus', 'neurons': 8, 'batch_size': 1}
0.841151 (0.069685) with: {'activation': 'softplus', 'neurons': 9, 'batch_size': 1}
0.823197 (0.066057) with: {'activation': 'softplus', 'neurons': 10, 'batch_size': 1}
0.813661 (0.070610) with: {'activation': 'softplus', 'neurons': 11, 'batch_size': 1}
0.830455 (0.063337) with: {'activation': 'softplus', 'neurons': 12, 'batch_size': 1}
0.834181 (0.056531) with: {'activation': 'softplus', 'neurons': 13, 'batch_size': 1}
0.835878 (0.060398) with: {'activation': 'softplus', 'neurons': 14, 'batch_size': 1}
0.840204 (0.055844) with: {'activation': 'softplus', 'neurons': 15, 'batch_size': 1}
0.835641 (0.052231) with: {'activation': 'softplus', 'neurons': 16, 'batch_size': 1}
0.847679 (0.089280) with: {'activation': 'softplus', 'neurons': 17, 'batch_size': 1}
0.848302 (0.040552) with: {'activation': 'softplus', 'neurons': 18, 'batch_size': 1}
0.832938 (0.078359) with: {'activation': 'softplus', 'neurons': 19, 'batch_size': 1}
